m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3.5uM_M0:0_L0:10000 X	m0:3.5uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2.5uM_M0:0_L0:10000 X	m0:2.5uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y	m0:1.75uM_M0:0_L0:10000 X	m0:1.75uM_M0:0_L0:10000 Y	m0:1.5uM_M0:0_L0:10000 X	m0:1.5uM_M0:0_L0:10000 Y	m0:1.35uM_M0:0_L0:10000 X	m0:1.35uM_M0:0_L0:10000 Y	m0:1.2uM_M0:0_L0:10000 X	m0:1.2uM_M0:0_L0:10000 Y
2.1914	0.934663543	2.1914	0.986681638	2.1914	0.968289339	2.1914	0.872343724	2.1914	0.759213106	2.1914	0.319219044	2.1914	0.228552954	2.1914	0.144587239	2.1914	0.028779256	2.1914	0.044212194
2.1914	1.001096937	2.1914	0.985149381	2.1914	0.943245179	2.1914	0.889847054	2.1914	0.732004075	2.1914	0.308532492	2.1914	0.236281359	2.1914	0.141724331	2.1914	0.051125708	2.2867	0.014043566
2.1914	0.956893713	2.1914	0.960319719	2.1914	0.990232846	2.1914	0.91654121	2.1914	0.753088072	2.1914	0.335426009	2.1914	0.252153143	2.1914	0.162233898	2.1914	0.053325705	2.2867	0.021275308
2.1914	0.932230586	2.1914	0.974491552	2.1914	0.971031921	2.1914	0.935308338	2.1914	0.752390035	2.1914	0.322177762	2.1914	0.244437132	2.1914	0.163129071	2.1914	0.06486937	2.2867	0.029874237
2.2867	0.936553	2.2867	0.991397003	2.2867	0.957147542	2.2867	0.895474591	2.2867	0.769771311	2.2867	0.350936968	2.2867	0.263003912	2.2867	0.155010611	2.2867	0.039355632	2.2867	0.045251259
2.2867	1.012864551	2.2867	0.988212406	2.2867	0.979568466	2.2867	0.937405907	2.2867	0.802902091	2.2867	0.373568979	2.2867	0.277286168	2.2867	0.173027543	2.2867	0.066149127	2.3819	0.011367829
2.2867	0.969768596	2.2867	0.985746253	2.2867	0.950182046	2.2867	0.920585865	2.2867	0.779997616	2.2867	0.354827396	2.2867	0.307331021	2.2867	0.17975768	2.2867	0.070926444	2.3819	0.030959659
2.2867	0.952193303	2.2867	0.97517365	2.2867	0.976435846	2.2867	0.963028455	2.2867	0.781992756	2.2867	0.372086819	2.2867	0.303450731	2.2867	0.183528078	2.2867	0.066522002	2.3819	0.036469654
2.3819	1.003028165	2.3819	0.991193462	2.3819	0.971371113	2.3819	0.931385988	2.3819	0.816102371	2.3819	0.388875191	2.3819	0.286589567	2.3819	0.201028371	2.3819	0.051802661	2.3819	0.053823541
2.3819	0.965395067	2.3819	0.984274232	2.3819	0.988029136	2.3819	0.914974687	2.3819	0.801469479	2.3819	0.408637707	2.3819	0.311538524	2.3819	0.1988373	2.3819	0.076374265	2.4772	0.012016492
