data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y
4.67	0.337880522	4.67	0.359561995	4.67	0.322412515	4.67	0.371764572	4.67	0.405114692	4.67	0.396504745	4.67	0.403475555	4.67	0.366664979	4.67	0.688488832	4.67	0.590770032	4.67	0.647096963
4.75	0.340835009	4.75	0.371813891	4.75	0.350167873	4.75	0.395353467	4.75	0.430286986	4.75	0.430661412	4.75	0.435690385	4.75	0.391828826	4.75	0.723448951	4.75	0.611055754	4.75	0.640554907
4.83	0.358789199	4.83	0.392060668	4.83	0.359529297	4.83	0.425258677	4.83	0.431052566	4.83	0.459246895	4.83	0.42453676	4.83	0.423240487	4.83	0.669781359	4.83	0.625252396	4.83	0.647383178
4.92	0.352526697	4.92	0.402313843	4.92	0.372534087	4.92	0.393467553	4.92	0.416659649	4.92	0.459910131	4.92	0.420190797	4.92	0.446816491	4.92	0.710032053	4.92	0.607792545	4.92	0.681974299
5	0.365480986	5	0.405870008	5	0.364791936	5	0.42684524	5	0.437881546	5	0.466807789	5	0.439610869	5	0.420030284	5	0.744822874	5	0.636320394	5	0.670525701
5.08	0.373208106	5.08	0.407998515	5.08	0.383818398	5.08	0.44232171	5.08	0.459960894	5.08	0.465348669	5.08	0.453256585	5.08	0.435770633	5.08	0.733733829	5.08	0.617178476	5.08	0.703522196
5.17	0.396465221	5.17	0.42546785	5.17	0.398872581	5.17	0.464054626	5.17	0.462502622	5.17	0.491778634	5.17	0.497232868	5.17	0.471324491	5.17	0.769498115	5.17	0.615294562	5.17	0.726869159
5.25	0.415328485	5.25	0.447272071	5.25	0.436799	5.25	0.476986609	5.25	0.49539197	5.25	0.505341815	5.25	0.466051343	5.25	0.478331707	5.25	0.758578369	5.25	0.643115942	5.25	0.74359229
5.33	0.409444763	5.33	0.470945226	5.33	0.441606218	5.33	0.490756775	5.33	0.499771091	5.33	0.533662004	5.33	0.508295319	5.33	0.466112226	5.33	0.754599856	5.33	0.679011242	5.33	0.745554907
5.42	0.435050317	5.42	0.478576703	5.42	0.460607379	5.42	0.53075013	5.42	0.503568372	5.42	0.537044509	5.42	0.503706225	5.42	0.495073087	5.42	0.807040035	5.42	0.684427497	5.42	0.762809579
5.5	0.445883436	5.5	0.496149868	5.5	0.446868857	5.5	0.515064114	5.5	0.517471318	5.5	0.548617981	5.5	0.495682909	5.5	0.500216315	5.5	0.80276525	5.5	0.674839717	5.5	0.784521028
5.58	0.450959093	5.58	0.501341349	5.58	0.457343531	5.58	0.536707224	5.58	0.53342602	5.58	0.565762639	5.58	0.525770345	5.58	0.51806228	5.58	0.797136079	5.58	0.706126155	5.58	0.765671729
5.67	0.460226586	5.67	0.508817082	5.67	0.462580869	5.67	0.552872202	5.67	0.534007861	5.67	0.550574528	5.67	0.53197018	5.67	0.533802629	5.67	0.819779739	5.67	0.711643333	5.67	0.801121495
5.75	0.477322208	5.75	0.534800446	5.75	0.479659143	5.75	0.539281646	5.75	0.552596161	5.75	0.599355555	5.75	0.525527214	5.75	0.553132882	5.75	0.797178403	5.75	0.716790457	5.75	0.774421729
5.83	0.500150039	5.83	0.540952351	5.83	0.497294042	5.83	0.593883352	5.83	0.570020778	5.83	0.608475054	5.83	0.582602168	5.83	0.549612014	5.83	0.819822064	5.83	0.75201293	5.83	0.764935748
5.92	0.492599683	5.92	0.552217866	5.92	0.513183163	5.92	0.582148775	5.92	0.573695565	5.92	0.614046239	5.92	0.573089676	5.92	0.575880447	5.92	0.827567466	5.92	0.714637412	5.92	0.836162383
6	0.532649396	6	0.569219967	6	0.520925314	6	0.594033027	6	0.587139163	6	0.612454472	6	0.594515577	6	0.587823782	6	0.861765742	6	0.71611763	6	0.813428738
6.08	0.526260634	6.08	0.599382473	6.08	0.529502402	6.08	0.637917951	6.08	0.652213524	6.08	0.680734645	6.08	0.605274115	6.08	0.604496125	6.08	0.871458075	6.08	0.729136825	6.08	0.823364486
6.17	0.548204644	6.17	0.624431371	6.17	0.544708392	6.17	0.626782077	6.17	0.643179671	6.17	0.668464774	6.17	0.623691273	6.17	0.617164344	6.17	0.880176943	6.17	0.776335612	6.17	0.889357477
6.25	0.538583622	6.25	0.598759496	6.25	0.546125256	6.25	0.621902648	6.25	0.649518679	6.25	0.690484218	6.25	0.631684197	6.25	0.616128795	6.25	0.867183291	6.25	0.764527505	6.25	0.868913551
6.33	0.562093258	6.33	0.61563181	6.33	0.549389104	6.33	0.627081428	6.33	0.628296782	6.33	0.648832981	6.33	0.618950222	6.33	0.59255279	6.33	0.871034829	6.33	0.737513517	6.33	0.839065421
6.42	0.597294582	6.42	0.62523605	6.42	0.595993816	6.42	0.660938078	6.42	0.670648707	6.42	0.686106858	6.42	0.667181294	6.42	0.658758906	6.42	0.90904232	6.42	0.777243928	6.42	0.907184579
6.5	0.622900136	6.5	0.629311363	6.5	0.565354128	6.5	0.64192926	6.5	0.657786951	6.5	0.716085137	6.5	0.679672138	6.5	0.67418859	6.5	0.853427796	6.5	0.781314529	6.5	0.870794393
6.58	0.596082485	6.58	0.679357243	6.58	0.590857684	6.58	0.659740672	6.58	0.698822078	6.58	0.70315203	6.58	0.657820758	6.58	0.657964985	6.58	0.875648211	6.58	0.771121206	6.58	0.881425234
6.67	0.628051549	6.67	0.667598538	6.67	0.603432354	6.67	0.678210657	6.67	0.68442916	6.67	0.714161752	6.67	0.701310779	6.67	0.710777997	6.67	0.881912251	6.67	0.77704208	6.67	0.899334112
6.75	0.628708102	6.75	0.683899789	6.75	0.600016699	6.75	0.727124684	6.75	0.716124202	6.75	0.755978799	6.75	0.687665063	6.75	0.694243727	6.75	0.893636165	6.75	0.809438682	6.75	0.918306075
6.83	0.663732662	6.83	0.725639298	6.83	0.631972047	6.83	0.735057498	6.83	0.718819046	6.83	0.782541411	6.83	0.717934847	6.83	0.752786778	6.83	0.885933088	6.83	0.81495586	6.83	0.899906542
