m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:6uM_M0:0_L0:10000 X	m0:6uM_M0:0_L0:10000 Y	m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y
4.25	0.572180767	4.25	0.588101109	4.25	0.51358893	4.25	0.484213132	4.25	0.335583276	4.25	0.201948955
4.5	0.573642814	4.5	0.586982504	4.5	0.547461215	4.5	0.466798177	4.5	0.260006963	4.5	0.13907491
4.5	0.573745171	4.5	0.605952512	4.5	0.543147837	4.5	0.470424691	4.5	0.32460461	4.5	0.151034841
4.5	0.568586467	4.5	0.606466511	4.5	0.543370091	4.5	0.432773704	4.5	0.344524379	4.5	0.146907223
4.5	0.576555065	4.5	0.599375195	4.5	0.536586515	4.5	0.464906799	4.5	0.339769604	4.5	0.173373412
4.5	0.584508941	4.5	0.617535994	4.5	0.534410118	4.5	0.463277356	4.5	0.379284047	4.5	0.201417208
4.5	0.577594256	4.5	0.621381035	4.5	0.562755331	4.5	0.501326073	4.5	0.376068712	4.5	0.199412928
4.5	0.608056067	4.5	0.624083844	4.5	0.551748787	4.5	0.527845957	4.5	0.369206206	4.5	0.221794458
4.75	0.617476094	4.75	0.628637555	4.75	0.577470701	4.75	0.497911009	4.75	0.285793968	4.75	0.148764235
4.75	0.604216351	4.75	0.641359961	4.75	0.58581419	4.75	0.505731635	4.75	0.35188564	4.75	0.15503603
4.75	0.611269014	4.75	0.636807888	4.75	0.581881772	4.75	0.495331463	4.75	0.36955911	4.75	0.172592197
4.75	0.615121586	4.75	0.648805945	4.75	0.573942554	4.75	0.4663885	4.75	0.362935752	4.75	0.190403357
4.75	0.62143249	4.75	0.657958814	4.75	0.579882555	4.75	0.495054099	4.75	0.40720709	4.75	0.214859642
4.75	0.616201439	4.75	0.6563115	4.75	0.605894135	4.75	0.535712267	4.75	0.401512185	4.75	0.220348093
4.75	0.648040425	4.75	0.657320627	4.75	0.595866528	4.75	0.554022581	4.75	0.414290895	4.75	0.241719822
5	0.658141843	5	0.673465343	5	0.620610066	5	0.546869863	5	0.319371201	5	0.157165662
5	0.644139252	5	0.679002371	5	0.623677108	5	0.551455632	5	0.398217146	5	0.173191441
5	0.65337667	5	0.685426271	5	0.633610393	5	0.538735779	5	0.386103254	5	0.184091534
5	0.656317502	5	0.676776496	5	0.61723124	5	0.510406869	5	0.408488528	5	0.210092241
5	0.676779905	5	0.696990111	5	0.622330973	5	0.54102957	5	0.452536181	5	0.237839938
5	0.663176623	5	0.695727355	5	0.642756104	5	0.571033546	5	0.44758477	5	0.262666268
5	0.648873144	5	0.702656404	5	0.637407247	5	0.604523714	5	0.437044942	5	0.249363546
5.25	0.69942332	5.25	0.708195846	5.25	0.653358897	5.25	0.573871563	5.25	0.348702733	5.25	0.190762342
5.25	0.676425581	5.25	0.709247117	5.25	0.661585592	5.25	0.586015961	5.25	0.425902592	5.25	0.202101931
5.25	0.689349716	5.25	0.716709535	5.25	0.661576349	5.25	0.576738427	5.25	0.418730193	5.25	0.220220959
5.25	0.689407994	5.25	0.711079535	5.25	0.650455244	5.25	0.547639595	5.25	0.440006451	5.25	0.236493497
5.25	0.693824539	5.25	0.725717359	5.25	0.675542015	5.25	0.574911035	5.25	0.492090753	5.25	0.27142039
5.25	0.71633278	5.25	0.725622854	5.25	0.659634498	5.25	0.619930249	5.25	0.473843168	5.25	0.2753871
5.25	0.690078237	5.25	0.727038215	5.25	0.682311355	5.25	0.641193514	5.25	0.49229706	5.25	0.29177852
5.5	0.722176697	5.5	0.729175637	5.5	0.682403554	5.5	0.618223752	5.5	0.374363211	5.5	0.198378392
5.5	0.699744856	5.5	0.730821948	5.5	0.688571617	5.5	0.622487953	5.5	0.452629883	5.5	0.209937736
5.5	0.712725454	5.5	0.73477467	5.5	0.699164074	5.5	0.617165394	5.5	0.452468709	5.5	0.227935416
5.5	0.736309407	5.5	0.731731024	5.5	0.703839222	5.5	0.611243882	5.5	0.473463672	5.5	0.255606877
5.5	0.717110127	5.5	0.752057355	5.5	0.685358047	5.5	0.58492207	5.5	0.524893176	5.5	0.279223836
5.5	0.720087063	5.5	0.750582826	5.5	0.69513262	5.5	0.644842289	5.5	0.507359811	5.5	0.307280145
5.5	0.717070383	5.5	0.749948574	5.5	0.710144624	5.5	0.671030845	5.5	0.52615202	5.5	0.296100443
5.75	0.755222104	5.75	0.767557691	5.75	0.727480867	5.75	0.65312514	5.75	0.39184685	5.75	0.205991433
5.75	0.745861865	5.75	0.766142799	5.75	0.723610628	5.75	0.654443335	5.75	0.483088745	5.75	0.22469808
5.75	0.738304112	5.75	0.763885263	5.75	0.722687922	5.75	0.645952184	5.75	0.48297245	5.75	0.250080081
5.75	0.765371104	5.75	0.766750065	5.75	0.734637504	5.75	0.607663173	5.75	0.504355903	5.75	0.276820295
5.75	0.750665359	5.75	0.77706545	5.75	0.717919473	5.75	0.647067164	5.75	0.559626289	5.75	0.306920376
5.75	0.754977902	5.75	0.785658056	5.75	0.71779692	5.75	0.687138169	5.75	0.538886913	5.75	0.333260698
5.75	0.745261623	5.75	0.777986693	5.75	0.7360423	5.75	0.696988594	5.75	0.55740341	5.75	0.323168187
6	0.777102045	6	0.783032512	6	0.738127536	6	0.6685237	6	0.425364333	6	0.230524683
6	0.754809784	6	0.782227882	6	0.74896472	6	0.68385257	6	0.502365524	6	0.245192136
6	0.781134191	6	0.782552925	6	0.743195132	6	0.667867862	6	0.511349546	6	0.273152524
6	0.764720029	6	0.781847695	6	0.75530654	6	0.629520004	6	0.53469158	6	0.293457347
6	0.768496983	6	0.799901336	6	0.739365022	6	0.666519228	6	0.586352304	6	0.329994654
6	0.778135697	6	0.799861745	6	0.737847164	6	0.701107921	6	0.571516732	6	0.350034397
6	0.769790272	6	0.797744065	6	0.755687076	6	0.723940878	6	0.589590511	6	0.346643489
