CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
3.5	0.079363148868	3.5	0.00404597960659	3.5	-0.00334722896059	3.5	0.0192378255235	3.5	0.0486563861777	3.5	0.0647060908627
3.5	0.098499410648	3.5	0.000188747249588	3.5	-0.00051060512559	3.5	-0.00924929956047	3.5	0.0175258775957	3.5	0.0603665974737
3.5	0.091556745357	3.5	-0.00737771591741	3.5	0.00412277294041	3.5	-0.00524862845547	3.5	0.00178427618466	3.5	0.0638566850106
3.5	0.075924122412	3.5	-0.00251270537541	3.5	-0.00984934486659	3.5	-0.0167712961135	3.5	-0.0143712391173	3.5	0.0487649440241
3.5	0.083245747084	3.5	-0.0176152198104	3.5	0.00570840808341	3.5	-0.00445077047747	3.5	-0.0174023385453	3.5	0.0189020045812
3.5	0.07207653634	3.5	-0.0219539387064	3.5	-0.0154480161736	3.5	-0.0355148906435	3.5	-0.0264137211203	3.5	0.0210430834902
3.5	0.042962700911	3.5	-0.0346482841394	3.5	-0.0141760604876	3.5	-0.0513248492995	3.5	-0.0169451687623	3.5	-0.00464316104983
3.75	0.0680246898134	3.75	-0.00216959819768	3.75	-0.00961023296562	3.75	-0.0130296812493	3.75	0.0587958249201	3.75	0.0683604189783
3.75	0.0848225049434	3.75	-0.0118771022587	3.75	-0.00729339783762	3.75	0.0156266419077	3.75	0.00936379480009	3.75	0.058835640453
3.75	0.0763949076514	3.75	-0.00930021567068	3.75	-0.0177595911576	3.75	-0.0157752435833	3.75	0.00387156612509	3.75	0.061678136176
3.75	0.0704664651224	3.75	-0.0234310501297	3.75	-0.00117195997062	3.75	-0.0136624772163	3.75	-0.0124920000339	3.75	0.053895296338
3.75	0.0636782172864	3.75	-0.0260629900837	3.75	-0.00737560858062	3.75	-0.0130353354993	3.75	-0.0314151951969	3.75	0.024582006228
3.75	0.0744123221214	3.75	-0.0298184349547	3.75	-0.0321695935206	3.75	-0.0443652310453	3.75	-0.0251407000549	3.75	0.020852116267
3.75	0.0328871904074	3.75	-0.0449552254337	3.75	-0.0268873248116	3.75	-0.0673814926993	3.75	-0.0239219193779	3.75	0.00113433875295
4.0	0.0683959213702	4.0	-0.00877470292384	4.0	-0.0212345797263	4.0	0.00761936283618	4.0	0.0614853567128	4.0	0.081652007957
4.0	0.0824530117582	4.0	-0.0259496424768	4.0	-0.0299292288273	4.0	-0.0289709091298	4.0	0.0130007702078	4.0	0.065362636634
4.0	0.0711658174202	4.0	-0.0172842645478	4.0	-0.0256414871813	4.0	-0.0327001293238	4.0	0.00156104002176	4.0	0.070827374181
4.0	0.0703417071132	4.0	-0.0281348105048	4.0	-0.0231989325493	4.0	-0.0224935649708	4.0	-0.0166667499772	4.0	0.050586824985
4.0	0.0651298264732	4.0	-0.0329150349168	4.0	-0.0269154114883	4.0	-0.0192659590968	4.0	-0.0324429217832	4.0	0.023831810244
4.0	0.0723068538532	4.0	-0.0361728703388	4.0	-0.0450961479843	4.0	-0.0550025277818	4.0	-0.0313177239562	4.0	0.022177375285
4.0	0.0413306550332	4.0	-0.0456105643018	4.0	-0.0395489790993	4.0	-0.0852324431438	4.0	-0.0284908641832	4.0	0.00236500026403
4.25	0.0670015595508	4.25	-0.00616698099347	4.25	-0.020427104512	4.25	-0.0293345246618	4.25	0.0644930633002	4.25	0.0793214036554
4.25	0.0760412793168	4.25	-0.0333461506085	4.25	-0.033797724375	4.25	-0.0330309906318	4.25	0.0114747466612	4.25	0.0809532897764
4.25	0.0641413224868	4.25	-0.0195439719555	4.25	-0.029446161185	4.25	0.00313123625915	4.25	-0.0100101073458	4.25	0.0728770346384
4.25	0.0647779065978	4.25	-0.0302939357435	4.25	-0.023963905147	4.25	-0.0294753001108	4.25	0.000858848867202	4.25	0.0576296970664
4.25	0.0601962015768	4.25	-0.0339542923935	4.25	-0.033690790365	4.25	-0.0234838317698	4.25	-0.0399695084018	4.25	0.0277729267004
4.25	0.0656929709948	4.25	-0.0415210272945	4.25	-0.04857350373	4.25	-0.0674514768698	4.25	-0.0378031578128	4.25	0.0240868837484
4.25	0.0262858588828	4.25	-0.0492817120125	4.25	-0.043186400202	4.25	-0.0919472305378	4.25	-0.0318689053368	4.25	0.00288531332442
4.5	0.0622967089236	4.5	-0.0110411344299	4.5	-0.0414188692724	4.5	-0.0418677537055	4.5	0.0714867190721	4.5	0.0863238103085
4.5	0.0621943518856	4.5	-0.0300111432039	4.5	-0.0371054910654	4.5	-0.0454942676725	4.5	0.0068890712601	4.5	0.0743638794905
4.5	0.0673530563996	4.5	-0.0305251421219	4.5	-0.0373277448524	4.5	-0.00784328099445	4.5	-0.0130306973099	4.5	0.0784914977945
4.5	0.0593844580386	4.5	-0.0234338261359	4.5	-0.0305441690264	4.5	-0.0399763755695	4.5	-0.0082759221259	4.5	0.0520253084875
4.5	0.0514305821326	4.5	-0.0415946252779	4.5	-0.0283677722904	4.5	-0.0383469325295	4.5	-0.0477903658989	4.5	0.0239815121025
4.5	0.0583452670906	4.5	-0.0454396658299	4.5	-0.0567129849144	4.5	-0.0763956497915	4.5	-0.0445750307459	4.5	0.0259857924445
4.5	0.0278834560326	4.5	-0.0481424747399	4.5	-0.0457064407954	4.5	-0.102915533951	4.5	-0.0377125243109	4.5	0.00360426266247
4.75	0.0536985329977	4.75	-0.0172452618266	4.75	-0.0368477802898	4.75	-0.0407665884709	4.75	0.073557107201	4.75	0.0976127046318
4.75	0.0669582764757	4.75	-0.0299676681726	4.75	-0.0451912694328	4.75	-0.0485872144139	4.75	0.00746543552799	4.75	0.0913409096728
4.75	0.0599056136377	4.75	-0.0254155941886	4.75	-0.0412588515358	4.75	-0.0381870423819	4.75	-0.010208034663	4.75	0.0737847427388
4.75	0.0560530408587	4.75	-0.0374136519906	4.75	-0.0333196332088	4.75	-0.00924407931486	4.75	-0.00358467724401	4.75	0.0559735830708
4.75	0.0497421371177	4.75	-0.0465665209826	4.75	-0.0392596340878	4.75	-0.0379096777129	4.75	-0.047856015088	4.75	0.0315172976758
4.75	0.0549731885867	4.75	-0.0449192065656	4.75	-0.0652712142528	4.75	-0.0785678464689	4.75	-0.042161109758	4.75	0.0260288461388
4.75	0.0231342021787	4.75	-0.0459283335396	4.75	-0.0552436069708	4.75	-0.0968781598679	4.75	-0.054939819925	4.75	0.00465711770184
5.0	0.045952683052	5.0	-0.0284205863578	5.0	-0.0466211826926	5.0	-0.0581183009385	5.0	0.0677864265703	5.0	0.110524194748
5.0	0.059955274125	5.0	-0.0339576141918	5.0	-0.0496882245806	5.0	-0.0627040697205	5.0	-0.0110595189447	5.0	0.0944984154185
5.0	0.050717856006	5.0	-0.0403815139248	5.0	-0.0596215093056	5.0	-0.0499842167225	5.0	0.00105437316525	5.0	0.0835983226945
5.0	0.047777024092	5.0	-0.0317317390408	5.0	-0.0432423570236	5.0	-0.0216553063315	5.0	-0.0213309005107	5.0	0.0575976154715
5.0	0.027314621162	5.0	-0.0519453538038	5.0	-0.0483420892266	5.0	-0.0522780078175	5.0	-0.0653785535707	5.0	0.0298499189825
5.0	0.040917903863	5.0	-0.0506825981088	5.0	-0.0687672205226	5.0	-0.0822819836115	5.0	-0.0604271428507	5.0	0.00502358850251
5.0	0.055221382487	5.0	-0.0576116472118	5.0	-0.0634183638996	5.0	-0.115772151418	5.0	-0.0498873149407	5.0	0.0183263110795
5.25	0.035244594982	5.25	-0.0313847114689	5.25	-0.047343487386	5.25	-0.0542561866127	5.25	0.0660915048385	5.25	0.0984987956017
5.25	0.058242334107	5.25	-0.0324359825299	5.25	-0.055570182297	5.25	-0.0664005853057	5.25	-0.0111083540935	5.25	0.0871592067817
5.25	0.045318199549	5.25	-0.0398984011629	5.25	-0.055560939185	5.25	-0.0571230510827	5.25	-0.00393595521949	5.25	0.0690401791897
5.25	0.045259921468	5.25	-0.0342684007889	5.25	-0.044439833951	5.25	-0.0280242192507	5.25	-0.0252122126865	5.25	0.0527676407517
