X	5uM	4uM	3.5uM	3uM	2.5uM	2uM	1.75uM	1.5uM	1.35uM	1.2uM
6.73268686869	1.0	0.999999999847	0.999999984765	0.999998914324	0.999946110468	0.998208760869	0.991262160207	0.962390349066	0.915771428977	0.823791898333
6.84876767677	1.0	0.999999999902	0.999999989425	0.99999918769	0.999956797905	0.998471424498	0.992327284296	0.966074208888	0.922811023575	0.835822691529
6.96484848485	1.0	0.999999999937	0.99999999266	0.999999392224	0.999965365796	0.998695572525	0.99326261918	0.969398956357	0.929273996867	0.847094529648
7.08092929293	1.0	0.99999999996	0.999999994905	0.999999545258	0.999972234493	0.998886852375	0.994083966154	0.972399179687	0.935205108299	0.857644308252
7.19701010101	1.0	0.999999999974	0.999999996463	0.999999659759	0.999977740982	0.999050083514	0.994805206919	0.975106237934	0.940646168941	0.867509134749
7.31309090909	1.0	0.999999999983	0.999999997545	0.99999974543	0.999982155417	0.999189378795	0.995438535551	0.977548537318	0.945636119434	0.876725877485
7.42917171717	1.0	0.999999999989	0.999999998296	0.999999809529	0.999985694376	0.999308248038	0.995994662803	0.979751790248	0.950211135567	0.885330805203
7.54525252525	1.0	0.999999999993	0.999999998817	0.999999857488	0.999988531485	0.999409686432	0.996482995932	0.981739256398	0.954404752583	0.893359305051
7.66133333333	1.0	0.999999999996	0.999999999179	0.999999893372	0.999990805934	0.999496249981	0.996911796901	0.983531965803	0.958248001233	0.900845667922
7.77741414141	1.0	0.999999999997	0.99999999943	0.99999992022	0.999992629313	0.999570119898	0.997288321517	0.985148924365	0.961769550184	0.907822930734
7.89349494949	1.0	0.999999999998	0.999999999604	0.999999940308	0.999994091076	0.999633157556	0.997618941749	0.986607302461	0.964995850676	0.914322766329
8.00957575758	1.0	0.999999999999	0.999999999725	0.999999955338	0.999995262941	0.999686951384	0.997909253238	0.987922607507	0.967951280356	0.920375412671
8.12565656566	1.0	0.999999999999	0.999999999809	0.999999966584	0.9999962024	0.999732856888	0.998164169778	0.989108841462	0.970658284031	0.926009634112
8.24173737374	1.0	1.0	0.999999999868	0.999999974998	0.999996955545	0.999772030809	0.99838800633	0.990178644295	0.973137509755	0.931252708478
8.35781818182	1.0	1.0	0.999999999908	0.999999981293	0.999997559325	0.999805460263	0.998584551941	0.991143424427	0.975407939137	0.936130434637
8.4738989899	1.0	1.0	0.999999999936	0.999999986003	0.999998043363	0.999833987618	0.998757133814	0.992013477196	0.977487011189	0.940667156055
