X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	Kar2011_Fig3B_22uM.txt: 22 uM Q37	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37
270724.324846	0.329160503171	0.421051293388	0.537960322221	0.561832521321	0.713548310046	0.877536215195	0.911101121883	0.924550665992	0.987861597539	0.997694187304
280117.989419	0.345678062243	0.43974396333	0.557816260547	0.581697075303	0.731510018541	0.888873014277	0.9202549661	0.932713190075	0.989844098686	0.998178857473
289511.653992	0.362098893418	0.458113731555	0.577029901638	0.60085553038	0.74843559176	0.89917443732	0.928472855209	0.939997092633	0.991502850113	0.998561652897
298905.318564	0.378395415378	0.476135807816	0.5955940608	0.619306166412	0.764368766456	0.908531553427	0.935848692874	0.946495688471	0.992890704478	0.998863986796
308298.983137	0.39454244646	0.493789202565	0.613506103947	0.637051718477	0.779354456783	0.917028293588	0.942467451502	0.952292740689	0.994051892972	0.999102771631
317692.647709	0.410517139023	0.511056458817	0.630767343821	0.654098712714	0.793438027928	0.924741785305	0.948405885802	0.957463335091	0.995023428923	0.999291365034
327086.312282	0.42629890099	0.527923382225	0.647382483884	0.670456864108	0.806664713947	0.931742736083	0.953733228922	0.962074705304	0.995836283999	0.999440316975
336479.976855	0.44186930705	0.544378773532	0.663359110704	0.6861385351	0.819079158148	0.938095842129	0.958511857934	0.966187001184	0.996516373408	0.999557959891
345873.641427	0.457212001836	0.560414166804	0.678707234354	0.701158252688	0.830725056666	0.943860205271	0.962797920757	0.969853997452	0.997085380833	0.99965087479
355267.306	0.47231259717	0.576023576121	0.69343887538	0.715532280868	0.841644888222	0.949089746145	0.966641920414	0.973123742396	0.997561449028	0.999724259388
364660.970572	0.487158565265	0.591203252815	0.707567696207	0.72927824472	0.851879715254	0.953833605474	0.970089255041	0.976039148373	0.997959757838	0.999782218864
374054.635145	0.501739129535	0.605951454754	0.721108674338	0.742414802127	0.861469043684	0.958136528067	0.9731807139	0.978638526976	0.998293007953	0.999827995512
383448.299717	0.51604515448	0.620268228727	0.734077814468	0.754961359019	0.870450730452	0.962039226221	0.975952930718	0.980956072406	0.998571825725	0.999864150108
392841.96429	0.5300690359	0.634155206563	0.746491896423	0.766937824038	0.878860929625	0.965578720739	0.978438796453	0.983022296888	0.99880510192	0.999892705166
402235.628863	0.543804592496	0.647615415292	0.758368255842	0.778364398627	0.886734069339	0.968788658809	0.980667833976	0.984864422074	0.999000275158	0.999915258074
411629.293435	0.557246959748	0.660653101373	0.76972459454	0.789261398763	0.894102853133	0.971699608777	0.982666537355	0.986506730276	0.999163569079	0.999933070459
421022.958008	0.570392486796	0.673273568802	0.780578817607	0.799649104758	0.900998280287	0.974339332362	0.984458678498	0.987970879257	0.999300190787	0.999947138758
430416.62258	0.583238636907	0.685483030715	0.790948894434	0.809547635829	0.907449680771	0.976733035196	0.986065583871	0.989276184036	0.999414496872	0.999958249962
439810.287153	0.595783891965	0.697288474014	0.800852741054	0.818976846411	0.91348476115	0.978903596787	0.987506383896	0.990439868972	0.999510132335	0.999967025639
449203.951726	0.608027661325	0.708697536397	0.810308121356	0.827956241452	0.919129658492	0.980871781147	0.988798237504	0.991477293106	0.999590146809	0.999973956706
458597.616298	0.619970195253	0.719718395131	0.819332564932	0.836504908216	0.924408999882	0.982656429354	0.989956534164	0.992402151478	0.999657091805	0.999979430894
467991.280871	0.631612503103	0.730359666876	0.827943299525	0.844641462347	0.929345965602	0.984274635341	0.99099507551	0.993226654915	0.999713102077	0.999983754431
477384.945443	0.642956276282	0.740630317818	0.836157196233	0.85238400623	0.933962354435	0.985741906197	0.991926238565	0.993961690533	0.999759963691	0.999987169179
486778.610016	0.654003816017	0.750539583384	0.8439907258	0.859750097872	0.938278649867	0.987072308172	0.992761122343	0.994616964986	0.999799170977	0.999989866162
496172.274588	0.664757965876	0.76009689681	0.851459924516	0.866756728757	0.942314086239	0.988278599584	0.99350967949	0.995201132272	0.999831974185	0.999991996251
505565.939161	0.675222048932	0.769311825869	0.858580368402	0.873420309309	0.946086714086	0.9893723517	0.99418083445	0.995721907769	0.999859419351	0.999993678604
514959.603734	0.685399809464	0.77819401705	0.865367154488	0.879756660767	0.949613464116	0.990364058633	0.994782589521	0.996186169942	0.999882381652	0.999995007334
524353.268306	0.695295359022	0.786753146565	0.871834888179	0.885781012429	0.9529102094	0.991263237194	0.995322120007	0.996600051061	0.999901593314	0.999996056771
533746.932879	0.704913126691	0.794998877552	0.877997675755	0.891508003369	0.955991825468	0.992078517597	0.995805859599	0.996969018101	0.999917666962	0.99999688562
543140.597451	0.714257813359	0.802940822887	0.883869121242	0.896951687831	0.958872248096	0.992817725821	0.996239576955	0.997297944888	0.999931115157	0.999997540249
552534.262024	0.723334349785	0.81058851309	0.889462326924	0.902125543629	0.961564528656	0.993487958377	0.996628444395	0.997591176431	0.999942366738	0.999998057278
561927.926597	0.73214785827	0.817951368782	0.894789896903	0.907042482979	0.964080886943	0.994095650172	0.996977099515	0.997852586277	0.999951780496	0.99999846563
571321.591169	0.740703617711	0.82503867727	0.899863943167	0.91171486525	0.96643276145	0.994646636088	0.997289700438	0.99808562766	0.999959656621	0.999998788148
580715.255742	0.749007031843	0.831859572787	0.904696093718	0.916154511229	0.968630857099	0.995146206858	0.997569975371	0.998293379097	0.999966246268	0.999999042874
590108.920314	0.757063600443	0.838423020032	0.909297502342	0.920372718511	0.970685190465	0.995599159752	0.99782126704	0.998478585045	0.999971759568	0.999999244058
599502.584887	0.764878893321	0.844737800622	0.913678859708	0.924380277738	0.972605132539	0.996009844566	0.998046572536	0.998643692143	0.999976372332	0.999999402954
608896.249459	0.77245852688	0.850812502142	0.917850405481	0.928187489398	0.974399449104	0.996382205321	0.998248579048	0.99879088153	0.999980231651	0.99999952845
618289.914032	0.779808143071	0.856655509488	0.921821941205	0.931804180994	0.976076338816	0.996719818099	0.998429695902	0.998922097653	0.999983460593	0.999999627568
627683.578605	0.78693339056	0.862274998236	0.925602843751	0.935239724383	0.977643469065	0.997025925344	0.998592083286	0.999039073949	0.999986162123	0.999999705851
637077.243177	0.79383990793	0.867678929797	0.929202079137	0.938503053139	0.979108009721	0.997303466983	0.998737678013	0.999143355743	0.999988422388	0.99999976768
646470.90775	0.800533308767	0.872875048124	0.932628216574	0.941602679821	0.980476664855	0.997555108631	0.998868216615	0.999236320664	0.999990313464	0.999999816513
655864.572322	0.807019168465	0.877870877786	0.935889442616	0.944546713041	0.981755702546	0.997783267187	0.998985256054	0.999319196836	0.999991895653	0.999999855081
665258.236895	0.813303012614	0.882673723228	0.938993575293	0.947342874245	0.982950982853	0.997990134029	0.999090192287	0.99939307911	0.999993219409	0.999999885542
674651.901468	0.819390306834	0.887290669058	0.94194807815	0.949998514155	0.984067984071	0.998177696056	0.999184276919	0.99945894352	0.999994326943	0.999999909601
684045.56604	0.825286447925	0.891728581207	0.944760074114	0.952520628806	0.985111827344	0.998347754762	0.999268632123	0.999517660182	0.999995253575	0.999999928602
693439.230613	0.83099675622	0.89599410886	0.947436359137	0.954915875146	0.98608729974	0.998501943537	0.999344264031	0.999570004782	0.999996028851	0.99999994361
702832.895185	0.836526469029	0.90009368702	0.949983415554	0.957190586173	0.986998875876	0.998641743352	0.99941207473	0.99961666883	0.999996677495	0.999999955463
712226.559758	0.841880735074	0.904033539618	0.952407425133	0.959350785583	0.987850738168	0.998768496977	0.99947287302	0.999658268793	0.999997220189	0.999999964824
721620.224331	0.847064609823	0.90781968308	0.954714281779	0.961402201909	0.988646795797	0.998883421879	0.999527384066	0.999695354234	0.999997674241	0.999999972218
731013.888903	0.852083051629	0.911457930264	0.956909603875	0.963350282166	0.989390702467	0.998987621915	0.999576258039	0.999728415081	0.999998054128	0.999999978058
740407.553476	0.856940918602	0.914953894708	0.958998746236	0.965200204968	0.990085873018	0.99908209793	0.999620077878	0.99975788809	0.999998371965	0.99999998267
749801.218048	0.861642966138	0.918312995122	0.960986811683	0.966956893149	0.990735498982	0.999167757372	0.999659366238	0.999784162622	0.999998637886	0.999999986313
759194.882621	0.866193845035	0.921540460069	0.962878662206	0.968625025867	0.991342563135	0.999245423008	0.999694591726	0.999807585783	0.999998860373	0.99999998919
768588.547193	0.870598100143	0.924641332793	0.964678929739	0.970209050214	0.991909853102	0.999315840824	0.99972617449	0.999828467009	0.999999046518	0.999999991462
777982.211766	0.874860169476	0.927620476149	0.966392026527	0.97171319234	0.992439974095	0.99937968719	0.99975449123	0.999847082158	0.999999202259	0.999999993257
787375.876339	0.878984383747	0.930482577604	0.9680221551	0.973141468095	0.992935360818	0.999437575359	0.99977987969	0.999863677149	0.999999332561	0.999999994674
796769.540911	0.882974966281	0.933232154267	0.969573317856	0.974497693203	0.993398288603	0.999490061352	0.999802642689	0.999878471213	0.99999944158	0.999999995794
806163.205484	0.886836033246	0.935873557941	0.971049326253	0.975785492996	0.993830883822	0.999537649306	0.999823051729	0.999891659793	0.999999532792	0.999999996678
815556.870056	0.890571594184	0.938410980148	0.972453809638	0.977008311691	0.994235133624	0.999580796309	0.999841350237	0.999903417117	0.999999609105	0.999999997376
824950.534629	0.894185552792	0.940848457134	0.97379022369	0.978169421266	0.994612895038	0.999619916795	0.999857756467	0.999913898511	0.999999672953	0.999999997928
834344.199202	0.897681707926	0.943189874812	0.975061858517	0.979271929908	0.994965903479	0.99965538652	0.999872466102	0.99992324244	0.999999726373	0.999999998363
843737.863774	0.901063754799	0.945438973656	0.976271846401	0.980318790081	0.995295780707	0.999687546178	0.99988565459	0.999931572344	0.999999771067	0.999999998707
853131.528347	0.904335286347	0.947599353505	0.977423169209	0.981312806212	0.995604042261	0.999716704667	0.999897479234	0.999938998268	0.999999808461	0.999999998979
862525.192919	0.907499794735	0.949674478289	0.978518665474	0.982256642011	0.995892104411	0.999743142058	0.999908081074	0.999945618315	0.999999839746	0.999999999194
871918.857492	0.910560672986	0.951667680662	0.979561037164	0.983152827447	0.996161290656	0.999767112286	0.999917586559	0.999951519938	0.999999865922	0.999999999363
881312.522064	0.913521216716	0.953582166531	0.980552856147	0.98400376539	0.996412837794	0.999788845591	0.999926109067	0.999956781105	0.999999887822	0.999999999497
890706.186637	0.91638462595	0.955421019481	0.981496570365	0.984811737932	0.996647901602	0.999808550722	0.999933750249	0.999961471317	0.999999906145	0.999999999603
900099.85121	0.919154007005	0.957187205094	0.982394509727	0.985578912401	0.996867562138	0.999826416952	0.999940601243	0.999965652537	0.999999921475	0.999999999686
909493.515782	0.921832374437	0.958883575152	0.983248891732	0.986307347088	0.9970728287	0.999842615889	0.999946743766	0.999969380002	0.999999934302	0.999999999752
918887.180355	0.924422653021	0.960512871724	0.984061826834	0.986998996691	0.997264644462	0.999857303125	0.999952251079	0.999972702953	0.999999945033	0.999999999804
928280.844927	0.926927679772	0.962077731146	0.984835323556	0.987655717493	0.997443890801	0.999870619734	0.999957188873	0.999975665291	0.999999954011	0.999999999845
937674.5095	0.929350205977	0.963580687874	0.985571293374	0.988279272289	0.997611391348	0.999882693625	0.999961616041	0.999978306149	0.999999961523	0.999999999878
