CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
4.25	0.0664665559727	4.25	-0.0135317788194	4.25	-0.0200987765053	4.25	0.0150191706618	4.25	0.00303799036722	4.25	0.0849883497031
4.25	0.0671031400837	4.25	-0.0242817426074	4.25	-0.0146165204673	4.25	-0.0175873657082	4.25	0.0139069465802	4.25	0.0697410121311
4.25	0.0625214350627	4.25	-0.0279420992574	4.25	-0.0243434056853	4.25	-0.0115958973672	4.25	-0.0269214106888	4.25	0.0398842417651
4.25	0.0680182044807	4.25	-0.0355088341584	4.25	-0.0392261190503	4.25	-0.0555635424672	4.25	-0.0247550600998	4.25	0.0361981988131
4.25	0.0286110923687	4.25	-0.0432695188764	4.25	-0.0338390155223	4.25	-0.0800592961352	4.25	-0.0188208076238	4.25	0.0149966283891
4.5	0.0628609495094	4.5	-0.00629285186126	4.5	-0.0326897287837	4.5	-0.0298725529739	4.5	0.0853115129898	4.5	0.0996059251408
4.5	0.0627585924714	4.5	-0.0252628606353	4.5	-0.0283763505767	4.5	-0.0334990669409	4.5	0.0207138651778	4.5	0.0876459943228
4.5	0.0679172969854	4.5	-0.0257768595533	4.5	-0.0285986043637	4.5	0.00415191973714	4.5	0.000794096607777	4.5	0.0917736126268
4.5	0.0599486986244	4.5	-0.0186855435673	4.5	-0.0218150285377	4.5	-0.0279811748379	4.5	0.00554887179178	4.5	0.0653074233198
4.5	0.0519948227184	4.5	-0.0368463427093	4.5	-0.0196386318017	4.5	-0.0263517317979	4.5	-0.0339655719812	4.5	0.0372636269348
4.5	0.0589095076764	4.5	-0.0406913832613	4.5	-0.0479838444257	4.5	-0.0644004490599	4.5	-0.0307502368282	4.5	0.0392679072768
4.5	0.0284476966184	4.5	-0.0433941921713	4.5	-0.0369773003067	4.5	-0.0909203332199	4.5	-0.0238877303932	4.5	0.0168863774948
4.75	0.0523202182557	4.75	-0.0140218272668	4.75	-0.0290322445198	4.75	-0.0289341257477	4.75	0.0879756816453	4.75	0.112005553754
4.75	0.0655799617337	4.75	-0.0267442336128	4.75	-0.0373757336628	4.75	-0.0367547516907	4.75	0.0218840099723	4.75	0.105733758795
4.75	0.0585272988957	4.75	-0.0221921596288	4.75	-0.0334433157658	4.75	-0.0263545796587	4.75	0.00421053978126	4.75	0.0881775918611
4.75	0.0546747261167	4.75	-0.0341902174308	4.75	-0.0255040974388	4.75	0.00258838340827	4.75	0.0108338972003	4.75	0.0703664321931
4.75	0.0483638223757	4.75	-0.0433430864228	4.75	-0.0314440983178	4.75	-0.0260772149897	4.75	-0.0334374406437	4.75	0.0459101467981
4.75	0.0535948738447	4.75	-0.0416957720058	4.75	-0.0574556784828	4.75	-0.0667353837457	4.75	-0.0277425353137	4.75	0.0404216952611
4.75	0.0217558874367	4.75	-0.0427048989798	4.75	-0.0474280712008	4.75	-0.0850456971447	4.75	-0.0405212454807	4.75	0.0190499668241
5.0	0.0425266379979	5.0	-0.0269257219885	5.0	-0.0399835150912	5.0	-0.0467145158434	5.0	0.0826007261762	5.0	0.125949181272
5.0	0.0565292290709	5.0	-0.0324627498225	5.0	-0.0430505569792	5.0	-0.0513002846254	5.0	0.00375478066124	5.0	0.109923401943
5.0	0.0472918109519	5.0	-0.0388866495555	5.0	-0.0529838417042	5.0	-0.0385804316274	5.0	0.0158686727712	5.0	0.0990233092189
