Time (hrs)	seed 0nM	seed 0nM	seed 0nM	seed 1nM	seed 1nM	seed 1nM	seed 10nM	seed 10nM	seed 10nM	seed 100nM	seed 100nM	seed 100nM
12.33	78.706	78.688	76.94	75.93	75.626	60.396	74.912	74.518	72.102	71.683	72.961	67.06
12.42	77.802	78.137	78.797	76.028	75.144	60.132	74.812	75.832	71.542	70.992	73.263	67.656
12.50	78.324	77.702	79.158	76.184	75.37	62.418	76.308	75.491	72.045	70.961	73.361	67.839
12.58	79.03	78.2	79.117	76.736	75.114	62.44	76.216	76.08	72.284	70.892	72.665	66.95
12.67	79.043	77.939	78.383	76.029	75.009	62.22	76.408	75.142	72.65	70.775	73.913	68.754
12.75	78.672	78.062	79.266	76.518	74.929	65.927	76.049	75.178	72.531	70.314	72.881	68.366
12.83	78.817	78.974	78.492	76.678	74.548	63.253	76.452	75.588	71.456	70.377	73.695	67.464
12.92	78.337	78.6	79.995	76.478	75.44	65.922	76.161	75.598	73.606	71.077	73.488	67.372
13.00	78.177	77.182	78.233	75.399	75.365	66.503	76.535	75.262	73.402	70.101	73.651	68.393
13.08	78.369	79.112	79.064	76.642	75.847	67.586	77.14	74.928	73.77	71.363	74.11	67.436
13.17	78.56	78.582	79.007	76.872	74.931	66.358	76.376	75.285	73.49	70.554	73.004	68.626
13.25	79.146	78.424	78.827	77.269	74.8	67.828	76.673	74.865	73.002	69.915	73.216	67.399
13.33	78.64	78.76	79.021	76.87	76.022	67.479	75.278	75.999	72.208	71.206	73.073	67.419
13.42	76.706	79.284	78.705	77.002	75.177	66.957	76.992	74.689	72.181	71.147	72.334	66.597
13.50	77.468	77.993	80.299	77.442	74.746	68.713	75.032	73.434	71.229	70.778	72.508	67.039
13.58	78.42	78.605	79.281	77.536	75.655	68.721	76.117	74.393	73.432	71.048	72.365	67.473
13.67	79.219	79.245	80.104	77.436	76.888	68.708	75.743	75.135	75.36	71.425	73.884	68.149
13.75	79.815	78.255	78.632	77.725	75.093	69.408	75.509	75.474	74.053	71.587	72.651	67.343
13.83	79.907	78.778	81.185	77.351	75.807	69.837	76.186	75.313	74.143	71.948	72.61	67.668
13.92	79.451	78.571	79.852	78.506	76.148	69.982	75.704	75.961	72.971	70.533	73.287	67.744
14.00	79.05	78.368	79.293	77.689	75.998	70.458	75.888	75.692	73.411	71.822	73.439	67.432
14.08	79.444	78.194	80.069	79.269	75.197	71.074	75.843	74.543	72.566	70.816	72.294	66.843
14.17	79.168	78.295	79.766	78.15	74.914	70.768	76.399	76.258	72.224	70.322	72.74	67.071
14.25	78.723	76.639	79.933	77.776	75.929	71.594	75.208	74.352	72.415	70.255	72.899	67.816
14.33	79.978	77.213	79.94	78.393	76.675	72.369	76.529	75.769	72.509	71.723	72.973	67.944
14.42	78.646	78.008	79.929	77.913	75.931	73.202	75.703	76.027	71.978	70.513	73.302	67.544
14.50	78.477	77.95	78.167	77.611	75.443	71.902	75.589	74.349	71.937	71.019	73.269	67.336
14.58	79.781	77.282	80.036	77.843	75.417	71.555	75.417	75.302	70.98	71.324	72.619	67.727
14.67	79.47	78.075	80.205	78.413	76.295	74.089	75.684	75.533	72.197	70.344	72.697	67.168
14.75	78.788	77.374	79.425	77.698	75.321	75.075	77.222	75.543	72.933	71.235	72.62	67.487
14.83	78.723	77.728	79.767	77.225	74.1	74.784	76.478	73.603	71.426	69.841	72.6	67.122
14.92	80.122	77.961	80.294	77.878	75.138	74.367	75.626	74.428	72.323	70.382	73.85	67.577
15.00	78.953	78.664	79.447	78.24	74.255	75.363	75.416	74.88	74.054	70.11	73.804	66.306
15.08	78.439	77.977	80.573	76.886	75.637	74.82	75.836	75.739	73.373	71.165	72.966	66.703
15.17	78.009	77.656	79.989	77.675	74.774	75.772	76.185	74.365	73.584	70.663	73.505	67.21
15.25	78.904	78.675	78.837	77.16	75.473	75.686	75.861	75.927	74.765	70.736	72.881	67.505
