X	Kakkar2016_Fig1_10uM.txt: 10 uM	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM	Kakkar2016_Fig1_16uM.txt: 16 uM	Kakkar2016_Fig1_20uM.txt: 20 uM
62508.7235994	0.868421777917	0.938687882996	0.974507670879	0.991514617133
63218.8552186	0.872380267951	0.9410590328	0.975738164295	0.992024605247
63928.9868378	0.876221526705	0.943338776666	0.976909294226	0.992503943772
64639.118457	0.879948861295	0.945530605117	0.978023920228	0.992954474416
65349.2500762	0.883565500281	0.947637879112	0.979084764712	0.993377928273
66059.3816955	0.887074594164	0.949663834431	0.980094419443	0.993775932451
66769.5133147	0.890479216023	0.951611585962	0.981055351737	0.994150016318
67479.6449339	0.893782362284	0.953484131885	0.981969910372	0.994501617363
68189.7765531	0.896986953607	0.95528435775	0.982840331231	0.994832086714
68899.9081723	0.900095835859	0.957015040446	0.983668742681	0.995142694319
69610.0397916	0.903111781183	0.958678852061	0.984457170703	0.995434633823
70320.1714108	0.90603748913	0.960278363629	0.985207543787	0.995709027151
71030.30303	0.908875587858	0.961816048772	0.985921697588	0.995966928809
