Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 Y	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 X	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 Y	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 X	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 Y	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 X	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 Y	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 X	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 Y	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 X	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 Y
23500.612	0.0367647747871	24118.15585	-0.00248259887097	16298.3272	-0.06108082839	13334.63892	-0.00221686405463	10545.24684	0.0425123946746	8029.739777	-0.03854006844
24248.06202	0.0428658774515	24867.56426	-0.00306301848323	16674.9898	-0.0632455754619	14086.65851	0.00700019464392	10737.1685	0.0271942427818	8297.39777	-0.025328381561
25182.21134	0.0516780454659	25616.97266	-0.00520462464027	17051.6524	-0.0659552914843	14462.6683	0.00919470034246	11113.83109	0.0323491771888	9100.371747	0.0131270070434
26117.01346	0.0568739481376	26553.08038	-0.00658281581879	17428.96778	-0.0727706079586	15026.68299	0.00950095715293	11865.85067	0.0408321148725	9368.02974	0.0261994605232
26865.11628	0.0594439059118	27488.53529	-0.00691286519113	17804.97756	-0.0732535247194	15777.39698	0.0115787721211	12429.21257	0.0437424706469	10973.9777	0.057391119572
27799.26561	0.0678462884586	28610.03672	-0.00484935865823	18180.98734	-0.0744382331743	16340.75887	0.00767435097537	12806.52795	0.0334703284154	11509.29368	0.0714685059096
28920.11424	0.0779030297829	29730.88535	-0.00258296958099	18370.29784	-0.0823044784965	16901.50959	0.0149132907964	13556.58915	0.0313716122397	12312.26766	0.07134488028
29856.22195	0.0737676686312	31596.57283	0.00742829305995	18933.65975	-0.0825358786979	18210.36312	0.0197992347094	14305.99755	0.0261416461087	13382.89963	0.0688361797982
30791.02407	0.0760570089899	33464.21869	-0.000694144049229	19309.66952	-0.0859860200465	19144.51244	0.0204530702082	15427.49898	0.0228928914743	14453.5316	0.0558948816982
31727.13178	0.0699088077846	33647.65402	0.0162966272584	19874.33701	-0.0961280443493	20822.19502	0.0313150125485	16545.73643	0.0290966675702	16059.47955	0.0618211908864
32849.28601	0.0676176840745	36260.13872	0.00608456340771	20621.78701	-0.0831358319856	22127.13178	0.0323746678918	18222.76622	0.0304554411051	17397.76952	0.043664071619
33786.04651	0.0551239972429	36448.79641	-0.00622509364954	21555.28357	-0.0666849782155	23803.50877	0.0351669384105	19527.05018	0.0269120307526	20342.00743	0.030193874382
34722.15422	0.0450271216512	38122.56222	0.0129835017393	23047.57242	-0.0422439525146	25667.89066	0.0234490629975	21202.77438	0.025197946311	23286.24535	0.0306362751924
